height,weight,HR
73,170,0
73,182,4
71,175,27
69,175,16
70,150,138
74,205,28
72,185,2
72,200,10
73,180,6
74,195,0
73,185,0
75,195,0
69,170,7
71,185,6
73,175,0
73,180,15
74,14,414
70,19,58
72,19,86
72,18,75
75,18,0
73,19,0
77,21,0
73,17,91
71,19,160
72,19,28
71,18,9
72,17,6
74,21,63
72,17,8
74,19,0
74,19,12
69,17,5
75,19,159
76,19,0
71,18,22
71,17,21
74,19,1
73,18,0
73,19,108
76,21,4
74,20,3
75,190,1
75,195,0
74,185,0
78,210,442
71,187,102
77,220,0
72,170,60
71,175,61
74,180,7
76,200,0
75,210,0
70,180,17
72,190,0
72,180,9
76,185,0
73,195,0
75,195,5
70,165,9
71,185,87
69,172,36
76,205,0
72,205,63
72,180,27
75,200,0
73,185,24
73,195,185
73,185,21
74,200,144
71,157,6
78,217,0
69,155,46
73,170,0
74,180,0
72,175,9
70,185,77
79,228,41
70,190,66
76,223,0
74,190,30
72,175,18
66,165,33
74,205,2
72,175,20
72,190,50
71,180,18
74,180,37
73,175,78
73,160,0
69,160,4
70,175,35
72,185,46
70,160,47
72,165,4
75,192,0
74,195,0
72,170,0
74,185,10
76,210,246
71,165,160
70,190,7
72,175,0
70,165,71
73,180,61
73,180,0
76,190,0
76,172,0
72,170,78
72,164,17
71,165,15
77,210,0
69,175,67
71,180,5
71,170,149
70,160,0
72,185,4
76,210,0
70,175,16
71,175,32
71,180,39
72,175,210
73,189,22
76,176,15
72,170,31
75,190,156
73,185,0
74,205,20
79,230,0
68,155,16
69,160,3
73,170,2
73,197,86
71,188,0
72,185,18
78,215,0
72,175,11
72,150,0
73,198,65
71,175,9
73,195,21
75,205,0
77,205,0
75,180,0
73,185,38
76,195,0
70,160,7
75,220,0
72,190,8
70,165,30
70,170,30
71,173,42
73,180,18
72,180,2
73,175,220
75,190,91
70,160,54
71,170,6
76,190,0
73,185,121
70,175,0
69,196,44
73,180,98
71,188,14
72,175,0
72,170,11
72,190,342
73,175,102
71,185,170
75,205,34
72,185,0
75,175,0
70,160,31
73,185,1
73,190,49
72,175,58
74,155,101
71,185,7
72,170,4
72,185,38
68,170,54
71,175,2
72,190,0
72,180,25
72,175,12
75,205,118
75,195,9
73,185,1
71,170,20
70,170,130
71,170,21
69,170,40
75,205,0
73,190,0
69,170,103
71,180,0
74,195,12
72,180,40
75,205,121
74,195,122
72,170,40
74,185,17
70,180,0
74,175,379
70,160,23
71,180,191
75,215,49
73,175,0
72,180,74
74,180,0
76,205,0
75,215,65
70,165,0
72,180,24
73,185,26
76,195,0
72,187,30
74,180,122
77,205,0
71,182,0
73,170,14
77,200,0
74,210,121
72,185,2
72,195,0
76,180,50
74,175,0
74,180,0
72,180,42
69,170,27
73,185,65
70,178,12
74,190,173
74,190,43
73,180,113
73,185,9
74,182,14
71,185,17
72,185,12
73,180,348
70,164,21
70,178,22
72,190,24
70,175,26
68,180,5
75,195,7
74,185,12
75,180,0
72,182,46
76,190,0
75,170,1
73,185,147
71,185,0
72,180,29
70,180,124
72,165,8
72,180,12
73,170,42
74,175,0
71,175,25
72,155,2
72,178,3
72,175,36
72,170,165
71,160,3
74,189,166
78,200,0
72,195,242
74,195,76
76,190,0
70,165,0
76,205,79
77,220,0
72,180,4
69,170,27
70,165,4
72,190,23
72,185,24
69,150,70
72,190,22
75,195,267
72,170,92
72,180,6
72,175,195
73,180,56
69,170,0
74,200,0
74,185,234
72,165,51
76,200,41
73,180,0
73,197,33
71,170,4
73,185,306
74,193,166
72,180,390
76,215,0
75,210,31
70,160,0
72,190,118
74,215,0
73,195,0
73,200,6
71,190,113
75,193,241
69,165,5
73,170,20
72,186,39
72,185,9
75,203,0
70,185,29
71,165,12
72,210,50
71,175,27
75,185,0
78,225,0
72,215,58
75,180,30
74,190,0
71,170,14
73,195,77
72,160,0
71,175,0
76,175,2
73,175,59
72,175,7
78,210,0
71,176,197
72,170,0
72,195,2
70,177,0
75,185,6
76,210,0
68,155,2
69,155,0
70,165,28
72,175,13
71,175,112
73,185,0
73,170,56
74,190,26
71,180,22
73,185,19
71,170,6
76,215,86
74,185,13
73,195,23
73,200,240
74,190,292
70,175,7
71,160,200
76,210,0
72,198,27
71,185,0
73,175,42
72,168,134
73,197,108
72,195,219
71,191,6
69,162,5
75,190,256
75,197,2
74,175,1
70,170,9
76,205,0
72,200,20
71,185,19
72,190,77
73,180,34
75,200,122
72,186,16
71,175,0
72,190,18
74,205,29
74,175,0
73,178,7
74,175,0
74,185,0
73,185,163
71,177,0
73,200,5
73,200,207
70,175,15
73,190,338
73,187,6
72,183,15
75,175,9
72,200,7
71,195,18
72,175,73
75,205,26
71,185,0
72,190,164
71,160,4
80,215,0
75,215,255
72,180,68
71,165,193
70,160,55
70,165,23
72,180,12
75,190,0
71,165,7
73,190,0
74,175,2
73,185,98
72,195,13
73,193,5
74,197,100
68,167,20
71,155,0
74,175,91
77,200,1
72,190,102
73,195,13
71,160,7
75,195,6
70,165,61
75,190,153
74,195,14
74,195,0
70,175,37
71,175,452
77,210,0
71,175,0
72,160,43
74,190,43
72,190,20
76,204,11
76,210,16
74,215,64
71,162,4
70,170,6
72,193,65
71,220,84
71,170,53
74,190,32
70,165,91
76,170,60
72,175,0
71,185,20
71,150,79
72,185,39
70,187,10
72,190,30
72,200,56
72,165,5
72,170,11
72,185,17
72,190,27
77,205,13
73,195,66
75,195,10
70,170,3
75,185,21
73,180,2
70,180,32
72,180,11
75,185,0
71,170,39
68,155,0
74,180,1
72,165,7
72,170,13
69,160,25
74,190,109
72,178,0
73,195,16
72,175,0
75,195,100
71,173,96
67,150,36
73,210,4
73,195,0
78,225,0
70,165,17
72,190,95
75,205,73
73,204,16
75,205,0
72,170,5
72,175,116
73,170,14
72,195,40
74,190,63
75,190,27
73,180,13
73,195,80
76,205,0
75,195,0
72,190,14
73,188,53
74,195,31
72,179,25
72,190,12
75,212,77
71,187,26
70,178,0
74,185,0
72,185,4
72,189,4
69,165,0
75,190,0
72,170,7
73,180,39
77,195,0
74,190,68
74,185,17
76,205,0
73,185,0
68,170,13
72,160,23
74,200,160
71,155,5
70,170,11
72,185,131
75,185,52
72,195,27
72,185,174
74,190,22
76,195,22
69,150,0
68,165,2
72,180,0
73,165,13
70,170,30
71,170,0
77,200,0
77,170,0
75,190,13
73,180,13
74,160,0
74,195,0
74,200,271
75,195,0
73,180,11
74,210,268
73,185,10
72,193,188
73,170,0
70,165,10
70,155,15
71,175,12
74,195,146
74,200,27
72,200,7
72,187,24
69,160,31
74,195,0
70,165,77
73,180,41
71,160,41
75,190,0
74,190,15
71,185,20
75,195,32
75,195,66
72,190,19
74,185,0
76,215,196
74,200,0
76,209,159
73,195,29
73,195,218
73,175,14
71,180,0
70,170,9
74,195,33
66,160,3
69,160,8
73,165,10
75,175,117
70,165,23
72,192,18
71,172,22
70,192,272
75,205,200
73,190,0
73,195,0
72,210,11
71,185,30
70,185,17
75,205,81
75,205,0
78,212,0
71,175,40
74,183,242
73,195,6
73,190,16
71,180,33
73,175,0
76,205,6
73,182,16
74,200,38
75,190,82
75,195,0
75,215,40
75,190,0
73,190,139
75,180,0
76,215,37
74,195,20
72,180,162
75,185,0
75,200,0
72,185,123
70,180,80
72,180,14
73,195,203
77,220,20
74,215,15
69,140,13
70,169,1
72,175,26
73,180,201
75,190,35
73,165,18
77,205,0
76,192,127
70,154,2
72,175,0
75,190,0
74,200,245
75,185,0
70,162,77
72,175,13
72,160,6
73,220,307
71,170,86
76,190,0
76,200,0
70,168,26
75,210,76
71,170,82
71,165,2
74,160,235
74,170,0
70,175,44
67,160,93
72,175,1
75,215,38
75,205,21
71,170,48
72,185,14
74,195,23
74,195,0
75,205,113
76,195,36
72,165,40
73,195,0
76,205,0
75,190,56
73,195,12
73,195,85
70,170,44
72,180,80
72,195,563
69,150,7
77,220,0
72,160,3
68,170,12
73,180,14
72,180,27
74,205,72
71,180,12
72,161,11
73,190,59
75,180,0
70,154,8
74,185,42
73,180,34
73,175,0
67,160,268
72,190,35
76,210,0
74,195,106
74,215,61
72,175,14
71,180,12
72,180,12
72,185,0
72,180,7
73,170,69
74,200,0
71,160,6
72,170,0
73,190,14
71,165,27
70,180,52
73,185,84
72,170,6
75,175,20
74,180,224
72,175,121
73,195,26
70,160,1
73,190,0
74,195,112
76,185,0
73,190,0
73,180,133
71,170,52
73,175,17
73,185,0
73,178,41
74,195,130
77,200,3
72,175,32
71,180,86
72,180,19
74,190,0
75,190,107
77,200,0
77,205,0
73,165,0
72,173,5
73,185,0
72,170,24
77,175,0
71,175,21
80,222,10
74,160,19
72,190,121
70,155,0
72,205,78
73,180,15
71,185,0
71,160,10
75,208,0
71,165,57
71,175,13
72,170,14
70,155,7
73,180,153
74,190,0
72,180,17
72,160,7
72,165,1
74,165,22
73,190,0
70,160,2
71,180,5
73,180,6
74,205,39
70,175,21
74,190,30
71,185,0
70,170,31
74,190,7
70,155,5
74,185,3
71,200,0
71,190,0
72,190,215
74,190,0
72,180,8
72,185,93
72,170,5
72,180,90
75,175,99
68,164,25
73,197,389
72,180,49
73,180,0
73,175,8
76,200,0
70,170,31
73,188,45
71,180,42
69,173,37
74,180,8
74,195,0
70,169,27
72,180,14
72,194,27
70,160,20
69,175,7
70,160,3
69,175,5
69,170,2
74,185,6
76,186,0
71,195,130
73,180,189
74,195,19
74,190,36
71,193,248
71,160,252
71,160,8
78,235,0
72,180,0
74,200,25
71,180,163
74,195,105
77,190,0
72,195,130
70,165,50
79,190,0
72,180,0
72,180,0
74,200,10
74,180,4
72,195,80
74,187,0
70,188,8
74,220,15
73,200,0
75,195,0
74,210,0
75,170,0
72,175,0
72,175,0
73,175,0
75,195,354
74,175,0
77,190,2
72,188,20
72,195,8
73,180,20
73,185,76
72,160,7
69,180,45
72,165,9
76,190,0
74,195,1
76,200,0
73,175,0
68,170,7
74,205,0
72,195,0
75,180,0
73,209,123
74,175,199
72,185,0
73,180,11
70,160,31
75,185,0
77,230,6
73,195,9
71,180,0
75,200,0
74,190,237
71,175,41
70,186,96
71,155,20
70,165,28
75,220,110
75,215,138
76,220,0
72,175,0
73,180,7
72,175,34
76,218,22
72,175,1
69,165,146
71,180,16
71,185,111
75,200,204
72,180,34
73,193,0
71,170,8
73,180,23
73,165,36
75,205,0
73,175,0
73,190,80
76,230,339
73,195,0
75,190,12
75,185,0
74,190,83
74,190,0
71,187,153
73,185,1
71,170,9
70,165,34
71,182,251
71,209,325
72,182,102
73,193,98
74,205,21
73,200,24
77,205,5
72,180,27
75,205,57
70,190,33
74,160,5
70,175,5
76,182,0
71,180,0
72,180,6
74,195,55
75,200,253
75,205,94
71,170,0
74,192,0
75,200,0
72,178,0
74,185,0
73,195,115
76,200,0
75,190,0
74,178,102
71,175,0
73,170,5
74,175,0
74,185,219
72,195,5
71,180,0
70,185,24
73,205,0
72,185,0
74,196,24
69,165,23
69,175,46
75,175,0
74,180,0
75,210,46
69,165,2
70,170,147
73,175,23
73,195,8
74,180,0
73,190,16
75,210,81
74,175,6
73,190,21
74,208,155
73,185,117
77,200,0
74,190,0
72,185,78
70,165,3
71,180,36
71,185,75
75,180,5
73,175,18
74,225,69
73,180,64
72,190,0
75,170,31
71,165,22
75,210,116
72,180,5
74,185,0
70,180,8
75,200,78
77,200,1
76,210,37
76,220,81
71,170,0
74,190,65
72,180,0
76,200,12
76,195,0
72,170,66
74,200,61
72,190,55
71,200,90
72,180,314
78,215,0
75,190,0
73,170,136
76,205,123
70,160,160
70,195,5
70,175,33
74,190,0
71,187,351
75,200,17
72,165,3
77,203,0
74,188,475
76,210,13
73,163,35
73,180,87
71,185,17
72,200,1
74,195,33
73,180,93
71,170,20
74,185,90
74,210,91
73,195,52
72,195,7
71,170,6
74,185,0
70,155,95
69,170,155
72,190,6
72,174,1
70,160,291
72,190,6
73,190,151
70,159,1
74,195,548
72,170,139
71,160,29
71,185,6
74,205,54
75,187,0
70,160,79
70,189,12
72,185,3
76,195,134
74,190,0
71,180,14
74,195,73
73,180,18
72,175,9
74,185,15
74,212,252
73,200,51
76,200,0
70,165,148
75,198,0
74,215,61
65,148,41
74,175,14
70,157,16
72,196,31
72,180,0
72,185,24
74,180,182
71,170,2
75,210,25
73,190,332
71,185,9
72,184,1
72,185,45
72,185,101
74,200,21
73,150,61
71,175,4
73,170,7
73,185,31
74,200,28
75,190,0
74,205,29
69,170,11
71,175,4
74,170,6
74,180,14
73,210,25
73,200,0
74,195,72
73,175,112
74,183,15
71,165,13
73,165,3
73,170,176
74,200,179
74,200,382
74,185,0
76,190,0
69,150,1
71,160,22
73,173,4
70,160,2
71,195,85
70,185,39
73,175,62
74,190,14
74,210,0
71,175,45
67,167,3
71,150,118
73,168,68
80,220,0
70,185,316
71,190,3
73,190,65
72,200,59
72,175,46
72,190,201
70,175,14
71,185,16
74,188,14
74,200,21
74,195,0
75,203,200
70,185,11
73,185,34
74,190,30
72,180,43
69,176,0
72,170,32
73,180,18
73,185,166
74,185,12
75,230,130
74,185,70
73,185,0
73,190,22
72,175,10
75,195,68
76,200,208
69,160,9
74,200,0
73,185,0
72,195,95
71,160,8
73,192,13
74,165,241
75,180,36
74,200,122
75,210,0
71,165,4
77,210,0
76,210,62
70,150,7
74,180,3
74,205,0
71,174,13
70,180,26
72,185,24
71,183,26
71,165,30
72,175,4
70,178,9
71,170,19
72,201,184
74,190,131
73,187,30
80,245,0
72,185,32
72,169,2
73,183,0
70,198,25
76,196,20
72,165,9
72,183,0
73,190,14
74,190,31
73,180,7
77,210,0
70,175,10
75,175,0
73,175,12
72,175,28
70,170,86
69,150,0
76,235,0
76,210,0
70,190,38
78,215,0
75,185,166
77,205,0
75,205,1
69,165,7
74,180,0
73,180,26
75,195,0
72,180,13
70,175,109
75,205,0
70,170,0
